ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,SiteNumber,tbl_ShinerSubstrate_Season,Muck,Detritus,Silt,Sand,Pea_gravel,Coarse_gravel,Cobble,Boulder,Bedrock,Hardpan_shale
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct01,2002,10/1/2002 0:00:00,10/1/2002 0:00:00,,main,1,2002,0,0,7,0,1,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct01,2002,10/1/2002 0:00:00,10/1/2002 0:00:00,,main,2,2002,0,0,6,0,3,3,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct01,2002,10/1/2002 0:00:00,10/1/2002 0:00:00,,main,3,2002,0,0,7,0,3,0,1,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2002Sep30,2002,9/17/2002 0:00:00,10/6/2002 0:00:00,TAPRShiner2002Oct01,2002,10/1/2002 0:00:00,10/1/2002 0:00:00,,main,4,2002,0,0,6,0,3,3,0,1,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct07,2003,10/7/2003 0:00:00,10/7/2003 0:00:00,,main,1,2003,1,3,2,0,0,1,2,0,6,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2003Oct06,2003,10/6/2003 0:00:00,10/10/2003 0:00:00,TAPRShiner2003Oct07,2003,10/7/2003 0:00:00,10/7/2003 0:00:00,,main,2,2003,4,1,3,2,2,1,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct06,2004,10/6/2004 0:00:00,10/6/2004 0:00:00,,main,1,2004,4,3,3,0,1,1,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct06,2004,10/6/2004 0:00:00,10/6/2004 0:00:00,,main,2,2004,5,3,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct06,2004,10/6/2004 0:00:00,10/6/2004 0:00:00,,main,3,2004,2,2,3,1,2,2,3,1,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner17upper,17,mainstem,Pasture Name: Big, formerly West Branch,Creek 17 - Upper,,Chase,,TAPRUPP17,,,TAPRShiner2004Oct04,2004,10/4/2004 0:00:00,10/7/2004 0:00:00,TAPRShiner2004Oct06,2004,10/6/2004 0:00:00,10/6/2004 0:00:00,,main,4,2004,3,1,3,2,3,3,3,0,0,0
